id,is_slow,start_cpu,start_ms,finish_ms,runtime_ms
4,0,1,0.342843,21.4361,21.0933
14,0,1,5.71673,22.8116,17.0949
28,0,1,9.71419,23.9459,14.2317
27,0,1,13.7121,25.0641,11.352
5,0,2,0.327285,25.4072,25.0799
9,0,1,1.71793,26.0793,24.3614
24,0,2,0.299213,26.7845,26.4853
7,0,3,0.292521,27.2165,26.924
25,0,2,0.239532,27.9062,27.6667
23,0,3,1.78117,28.4124,26.6312
22,0,2,0.273511,29.025,28.7515
2,0,5,0.334202,29.408,29.0738
1,0,4,0.340487,29.4237,29.0832
3,0,3,0.346475,29.4269,29.0805
26,0,3,0.165258,29.5451,29.3798
29,0,2,1.78545,30.6707,28.8853
17,0,3,0.264289,30.784,30.5198
20,0,5,5.71461,30.7919,25.0773
18,0,4,0.260604,30.7988,30.5382
19,0,4,5.71737,30.8335,25.1162
16,0,2,0.158399,31.1123,30.9539
31,0,3,0.191021,31.8633,31.6723
10,0,4,0.283572,31.8707,31.5871
12,0,5,0.237558,31.8989,31.6613
15,0,5,0.27731,32.2319,31.9546
6,0,3,0.320031,32.8215,32.5015
13,0,4,0.186109,32.9551,32.769
11,0,5,0.174204,32.9842,32.81
21,0,5,0.307166,33.3497,33.0425
30,0,5,1.78294,33.9782,32.1952
8,0,4,1.72616,34.6528,32.9266
0,1,4,0.313021,179.513,179.2
